title,subtitle,link,category,subcategory
বিয়ের ক্ষেত্রে একজন ছেলের clean past একজন মেয়ের কাছে ঠিক কতটা matter করে?,practical case study সহ।,https://www.facebook.com/reel/3915802222060247,বিয়ে,বিয়ের আগে
পরিবার পরিকল্পনা বা জন্মনিয়ন্ত্রণ কি আদৌ ইহুদি নাসারার ষড়যন্ত্র?,এই বিষয়ে কুরআন হাদিসে আসলে কি আছে? - আসুন পরিবার পরিকল্পনার লাভ-ক্ষতি logic দিয়ে বুঝি।,https://www.facebook.com/reel/2208663346627392,ধর্ম,
"আপনি কেমন life partner (জীবনসঙ্গী) চান, সেটা আপনি নিজেও জানেন না।",বিশ্বাস না হলে দেখুন বাস্তব প্রমাণ এবং উদাহরণসহ।,https://www.facebook.com/reel/1681009553150146/,বিয়ে,বিয়ের আগে
যেই দুইটা কারণে বর্তমানে প্রবাসী ভাইদের ডিভোর্সের হার অনেক বেশি।,এর practical সমাধান কি?,https://www.facebook.com/reel/1305367631809254/,বিয়ে,বিয়ের পরে
"""শিক্ষিত কাজের বুয়া"" কেন আমাদের feminist ছেলে এবং মেয়েদের অত্যন্ত প্রিয় শব্দ?","শিক্ষিত কাজের বুয়া"" কাদের বলা হয়? যেই কারণে সকল qualified ছেলেদের life partner হিসাবে ""শিক্ষিত কাজের বুয়া"" choose করা উচিত।",https://www.facebook.com/reel/966112043053059/,নারীবাদ,বিয়ের আগে
পরিবারের উপর অন্ধভাবে ভরসা করে life partner বাছাই করা ঠিক কত বড় বোকামি!,বাস্তব উদাহরণসহ।,https://www.facebook.com/reel/3462851637201513/,বিয়ে,বিয়ের আগে
একজন মানুষের জীবনে মান সম্মান ঠিক কতটা গুরুত্বপূর্ণ?,মান সম্মান কি আদৌ গুরুত্বপূর্ণ? - বাস্তব কাহিনীসহ।,https://www.facebook.com/reel/4272414209636894/,জীবন,
একজন মেয়ে family oriented নাকি অলস অপদার্থ - তা বুঝার একমাত্র ninja technique,,https://www.facebook.com/reel/1974901609830222/,বিয়ে,বিয়ের আগে
family-oriented মেয়েকে বিয়ে করতে গিয়ে অকর্মণ্য অপদার্থ কোন মেয়েকে বিয়ে করছেন না তো?,অপদার্থ কোন মেয়ে যেভাবে আপনার এবং আপনার সন্তানের life ধ্বংস করে - বাস্তব উদাহরণসহ।,https://www.facebook.com/reel/1662369398294085/,বিয়ে,বিয়ের আগে
"""শিক্ষিত মা, শিক্ষিত জাতি"" - ঠিক কত বড় ভুয়া কথা?","আসুন, চিন্তা করে দেখি।",https://www.facebook.com/reel/1624979258772584/,বিয়ে,
"সফল পুরুষকে বিয়ে করতে চাওয়া সব মেয়েরাই কি ""লোভী""?","বিয়ের সময় প্রকৃত ""লোভী"" মেয়ে চিনবার ninja technique.",https://www.facebook.com/reel/1990871788194818/,বিয়ে,বিয়ের আগে
পরিবারের চাপে আপনার প্রেমিকা বা ভালোবাসার মানুষের বিয়ে হয়ে যাচ্ছে - ঠিক কতটুকু সত্য?,,https://www.facebook.com/reel/941083735487870/,প্রেম,
একজন পুরুষের বিয়ের সময় কেন ব্যবসায়িক mindset রাখাটা জরুরি?,একজন উত্তম স্ত্রী এবং একজন জঘন্য স্ত্রী আপনার life কে ঠিক কোন কোন দিক দিয়ে change করতে পারে?,https://www.facebook.com/reel/813540155152826/,বিয়ে,বিয়ের আগে
একজন মেয়ের সাথে দীর্ঘ পথ চলায় life partner হিসেবে একজন পুরুষ কেমন ব্যবহার করবে - সেটা বোঝার ninja technique.,,https://www.facebook.com/reel/963330106667458/,বিয়ে,বিয়ের আগে
মেয়েরা খারাপ ছেলেদের পছন্দ করে কেন?,এটা কি myth না reality? আসল রহস্য এখানে কি?,https://www.facebook.com/reel/946656948359305/,বিয়ে,
বাংলাদেশের নারীদের বহুবিবাহের প্রতি ঘৃণার প্রকৃত কারণ আসলে কি?,,https://www.facebook.com/reel/2092071294692470/,বিয়ে,
ইসলামে পুরুষদের জন্য বহুবিবাহ (polygamous marriage) বৈধ করবার প্রকৃত কারণ আসলে কি?,বহুবিবাহের প্রতি ঘৃণা কি আসলে social conditioning?,https://www.facebook.com/reel/1647873672830814/,বিয়ে,
CGPA নাকি skill - কোনটা নিয়ে university life এ তোমার কাজ করা উচিত?,বিশ্ববিদ্যালয়ের ranking কি এই decision এর ক্ষেত্রে কোনো প্রভাব বিস্তার করে?,https://www.facebook.com/reel/932936269588535/,শিক্ষা,
যেই ৪টি ধাপে তোমার প্রেমিকা তোমার জীবন ধীরে ধীরে ধ্বংস করে।,practical উদাহরণসহ।,https://www.facebook.com/reel/1639693623815308/,প্রেম,
বিয়ের ক্ষেত্রে একজন ছেলে আর একজন মেয়ের মধ্যে age difference / বয়সের পার্থক্য কেমন হওয়া উচিত?,সমান বয়সের বা বয়সে বড় কোনো মেয়েকে কি আসলেই বিয়ে করা ঠিক না?,https://www.facebook.com/reel/26472501302358824/,বিয়ে,বিয়ের আগে
